id,name,licence_no,experience_years,blood_group,safety_rating,performance_score,risk_score,status,phone
driver_1,Priya Kumar,TS3820183151610,2,A-,4.6,79.1,21.6,active,+91 8691001287
driver_2,Deepak Verma,DL9920168718703,11,O-,3.0,87.0,15.2,active,+91 8553070149
driver_3,Sanjay Deshmukh,TN4320075519920,16,A-,3.7,67.4,17.0,active,+91 8599057680
driver_4,Prakash Iyer,TS4520144018040,19,B+,5.0,87.4,32.6,active,+91 8012775490
driver_5,Anjali Joshi,TS3520043509000,16,A+,3.4,80.0,39.8,active,+91 9220528056
driver_6,Anjali Nair,MP7220095210645,18,A-,3.1,64.0,6.5,active,+91 8092165878
driver_7,Neha Iyer,UP2220146614605,9,O+,3.7,82.3,32.4,active,+91 8768499634
driver_8,Suresh Gupta,UP8720063928275,10,O+,3.7,80.4,31.0,active,+91 7336757755
driver_9,Manoj Yadav,GJ6920203430151,6,O-,4.6,73.5,25.3,active,+91 7306420495
driver_10,Vikram Deshmukh,MP3920106316334,10,O-,3.5,85.8,10.8,active,+91 8559781099
driver_11,Priya Verma,TS3120051387572,5,O-,3.5,70.1,29.8,active,+91 7904397668
driver_12,Deepak Joshi,DL2220028938740,18,A+,3.1,75.9,30.6,active,+91 8127223900
driver_13,Ramesh Patil,UP5920094847954,8,O-,3.6,85.1,5.3,active,+91 7122712790
driver_14,Rahul Rathore,MP5120158838205,18,O+,4.1,65.4,37.9,active,+91 9537599506
driver_15,Vijay Rathore,UP8220139782198,18,O+,4.8,79.3,9.1,active,+91 8322283789
driver_16,Prakash Joshi,GJ2920091177097,1,A-,4.6,93.9,13.8,active,+91 7035721701
driver_17,Neha Reddy,KA4820008221506,10,A-,3.5,60.3,14.9,active,+91 9407562635
driver_18,Ajay Joshi,RJ3020227538471,13,B+,3.5,76.9,9.6,active,+91 9633743591
driver_19,Sanjay Kumar,UP7820087927377,7,A+,3.4,71.6,25.5,active,+91 8168807171
driver_20,Neha Singh,MP1220041832687,18,A+,3.4,64.1,10.8,active,+91 7035236295
driver_21,Anil Patil,HR1120154643811,11,AB+,3.6,92.0,39.9,active,+91 7136309890
driver_22,Rajesh Patil,HR1720087583744,3,A-,3.9,67.7,33.7,active,+91 7054183126
driver_23,Suresh Reddy,RJ5920145146693,2,B+,3.9,90.8,20.8,active,+91 9030770268
driver_24,Manoj Rathore,GJ5120051707762,18,A-,3.2,79.2,12.0,active,+91 7223714148
driver_25,Ravi Patil,RJ9120136444432,1,B+,4.6,83.4,15.8,active,+91 7180360149
driver_26,Neha Nair,WB2920112501223,8,B+,4.0,87.4,13.5,active,+91 9684922912
driver_27,Rahul Sharma,MP9220049998515,4,B+,4.0,72.7,22.3,active,+91 8491718314
driver_28,Vijay Nair,RJ1220227337911,12,O-,3.3,95.9,19.4,active,+91 8265789564
driver_29,Anjali Nair,KA3420184131076,18,O+,3.6,78.7,34.7,active,+91 9381646593
driver_30,Deepak Patil,TN2920145960564,9,A-,3.7,60.0,25.5,active,+91 7796863703
driver_31,Amit Yadav,MP8920076380354,3,O-,4.9,92.8,7.6,active,+91 9368536195
driver_32,Ramesh Yadav,GJ5120136402667,4,A+,4.0,62.7,33.4,active,+91 7134319747
driver_33,Ravi Patil,KA3420031533803,19,O-,4.7,86.3,21.0,active,+91 8099247629
driver_34,Rahul Gupta,RJ8720222189067,1,B+,4.3,97.1,33.3,active,+91 9744126400
driver_35,Rahul Gupta,TN6320111978112,20,O+,4.1,89.4,33.4,active,+91 7927283698
driver_36,Priya Patil,DL3920177464782,7,B+,4.1,70.0,25.0,active,+91 9397199956
driver_37,Ajay Nair,DL9120187005628,15,O-,4.3,95.3,6.7,active,+91 8724674934
driver_38,Priya Gupta,UP3020178432510,12,O+,4.1,99.9,33.8,active,+91 9719748617
driver_39,Ajay Iyer,MP8720074589118,13,A-,4.9,70.2,38.5,active,+91 8705490992
driver_40,Amit Nair,MH4620191273509,17,B+,5.0,72.1,12.0,active,+91 8352505293
driver_41,Amit Reddy,GJ8020163595683,4,A+,3.9,66.2,10.6,active,+91 8073127233
driver_42,Anil Kumar,GJ2120187707501,19,B+,4.5,88.9,31.7,active,+91 9961788388
driver_43,Suresh Yadav,UP4820017401281,3,A+,4.8,73.4,35.2,active,+91 7517717617
driver_44,Anil Nair,UP8720007417066,2,O+,4.0,72.8,22.6,active,+91 9996893560
driver_45,Anil Deshmukh,MH9620237591477,15,A-,4.2,63.6,17.3,active,+91 7635708419
driver_46,Ramesh Gupta,DL7020181827302,18,AB+,3.5,75.9,17.4,active,+91 7579265528
driver_47,Neha Chauhan,RJ7220124290000,18,A-,5.0,81.0,9.7,active,+91 8847118259
driver_48,Rajesh Rathore,WB2120037938755,14,O+,3.7,72.8,23.8,inactive,+91 8309186996
driver_49,Deepak Gupta,WB6620193446428,15,A+,4.8,69.3,27.4,active,+91 7368570209
driver_50,Suresh Nair,MH4120193477610,10,A+,3.7,92.2,12.2,active,+91 8425399664
driver_51,Ravi Nair,TN3720069778944,9,A-,4.0,89.2,5.7,active,+91 7078978066
driver_52,Manoj Yadav,UP7720015285846,6,A+,3.6,91.6,24.7,active,+91 9812163622
driver_53,Amit Patil,TS9420087043474,4,A+,3.6,95.3,15.5,active,+91 9184164080
driver_54,Suresh Gupta,KA8620172476741,6,B+,4.0,78.3,37.1,inactive,+91 8062541120
driver_55,Priya Kumar,MP7220123634111,1,O+,4.4,74.2,12.1,active,+91 9152858629
driver_56,Sanjay Reddy,MH9020087495644,1,A-,4.9,69.0,13.7,active,+91 7589530134
driver_57,Vikram Nair,TS7620214815608,14,B+,4.1,77.1,12.5,active,+91 8929166962
driver_58,Anjali Deshmukh,RJ9320044394202,5,O+,4.4,95.9,36.4,active,+91 7623424790
driver_59,Deepak Gupta,DL8120172986209,6,O+,4.7,65.8,1.2,active,+91 8778288911
driver_60,Ajay Kumar,KA9120235593537,5,B+,3.2,67.4,30.5,active,+91 8146166176
driver_61,Anil Yadav,RJ3920211437625,12,A+,4.4,79.1,20.1,active,+91 9789875688
driver_62,Prakash Deshmukh,TS7220153307080,6,B+,3.5,76.3,38.8,active,+91 8774010584
driver_63,Anil Nair,UP3520062109583,6,AB+,4.7,79.6,13.0,active,+91 8059928520
driver_64,Ajay Joshi,MH8720237381619,11,AB+,4.2,89.7,23.8,active,+91 7165407669
driver_65,Priya Patil,KA6820015122525,17,A-,3.8,89.4,22.3,active,+91 9708614883
driver_66,Rahul Singh,GJ6620126109570,10,AB+,3.3,71.8,36.8,active,+91 7610914498
driver_67,Vijay Iyer,UP6720029399643,4,B+,4.6,97.5,27.8,active,+91 8776223687
driver_68,Rajesh Verma,MH3220144387856,15,A+,3.5,87.7,36.3,active,+91 7530618370
driver_69,Vikram Patil,KA9120112431206,17,O-,3.8,91.6,20.5,active,+91 8626412328
driver_70,Anjali Joshi,MH3120103518087,6,B+,3.4,88.5,16.8,active,+91 8916664525
driver_71,Karan Rathore,HR2520044403286,1,A-,4.5,60.5,19.9,active,+91 7024698406
driver_72,Neha Singh,RJ8520218981122,15,AB+,3.9,84.0,0.3,active,+91 8194485961
driver_73,Anjali Iyer,RJ1620053487325,2,O-,3.7,65.8,1.3,active,+91 9591091338
driver_74,Karan Gupta,DL1620037995376,6,B+,4.3,84.4,27.7,active,+91 9414532686
driver_75,Deepak Verma,WB5620012562399,10,O+,3.7,75.2,2.7,active,+91 9364255319
driver_76,Vikram Kumar,KA2720035603979,11,A-,3.8,68.4,8.4,active,+91 9454002884
driver_77,Priya Patil,KA9820195818203,14,A-,4.7,70.4,23.0,active,+91 7557113691
driver_78,Neha Chauhan,UP7320154018342,20,B+,4.4,99.2,0.1,inactive,+91 9686333429
driver_79,Suresh Nair,RJ8820137946457,2,O+,3.7,92.2,8.5,active,+91 9963600727
driver_80,Karan Kumar,DL4920099500841,18,O+,4.5,64.6,13.3,active,+91 9443499414
